,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
67,,,,0.0,0.0,,0,1,0,0,13,43,0,5,91.80327868852459,72.22222222222223,0.0,0.4821072541750394
68,,,,0.0,0.0,,0,1,0,0,13,44,0,5,91.93548387096774,72.22222222222223,0.0,0.4821072541750394
69,,,,0.0,0.0,,0,1,0,0,13,45,0,5,92.06349206349206,72.22222222222223,0.0,0.4821072541750394
70,,,,1.0,4.0,,0,0,0,1,13,45,0,6,90.625,68.42105263157895,0.0,0.4821072541750394
71,,,,1.0,4.0,,0,0,0,1,13,45,0,7,89.23076923076923,65.0,0.0,0.4821072541750394
72,,,,0.0,0.0,,0,1,0,0,13,46,0,7,89.39393939393939,65.0,0.0,0.4821072541750394
73,,,,0.0,0.0,,0,1,0,0,13,47,0,7,89.55223880597015,65.0,0.0,0.4821072541750394
74,,,,0.0,0.0,,0,1,0,0,13,48,0,7,89.70588235294117,65.0,0.0,0.4821072541750394
75,,,,1.0,4.0,,0,0,0,1,13,48,0,8,88.40579710144928,61.904761904761905,0.0,0.4821072541750394
76,,,,0.0,0.0,,0,1,0,0,13,49,0,8,88.57142857142857,61.904761904761905,0.0,0.4821072541750394
77,,,,,,337.8921239376068,0,0,0,0,13,49,0,8,88.57142857142857,61.904761904761905,0.0,0.4821072541750394
78,,,,0.0,0.0,,0,1,0,0,13,50,0,8,88.73239436619718,61.904761904761905,0.0,0.4821072541750394
79,,,,0.0,0.0,,0,1,0,0,13,51,0,8,88.88888888888889,61.904761904761905,0.0,0.4821072541750394
80,,,,1.0,4.0,,0,0,0,1,13,51,0,9,87.67123287671232,59.09090909090909,0.0,0.4821072541750394
81,,,,0.0,0.0,,0,1,0,0,13,52,0,9,87.83783783783784,59.09090909090909,0.0,0.4821072541750394
82,,,,0.0,0.0,,0,1,0,0,13,53,0,9,88.0,59.09090909090909,0.0,0.4821072541750394
83,,,,0.0,0.0,,0,1,0,0,13,54,0,9,88.15789473684211,59.09090909090909,0.0,0.4821072541750394
84,,,,0.0,0.0,,0,1,0,0,13,55,0,9,88.31168831168831,59.09090909090909,0.0,0.4821072541750394
85,,,,1.0,4.0,,0,0,0,1,13,55,0,10,87.17948717948718,56.52173913043478,0.0,0.4821072541750394
86,,,,1.0,4.0,,0,0,0,1,13,55,0,11,86.07594936708861,54.166666666666664,0.0,0.4821072541750394
87,,,,0.0,0.0,,0,1,0,0,13,56,0,11,86.25,54.166666666666664,0.0,0.4821072541750394
88,,,,,,386.1315929889679,0,0,0,0,13,56,0,11,86.25,54.166666666666664,0.0,0.4821072541750394
89,,,,0.0,0.0,,0,1,0,0,13,57,0,11,86.41975308641975,54.166666666666664,0.0,0.4821072541750394
90,,,,0.0,0.0,,0,1,0,0,13,58,0,11,86.58536585365853,54.166666666666664,0.0,0.4821072541750394
91,,,,1.0,4.0,,0,0,0,1,13,58,0,12,85.5421686746988,52.0,0.0,0.4821072541750394
92,,,,0.0,0.0,,0,1,0,0,13,59,0,12,85.71428571428571,52.0,0.0,0.4821072541750394
93,,,,0.0,0.0,,0,1,0,0,13,60,0,12,85.88235294117646,52.0,0.0,0.4821072541750394
94,,,,1.0,4.0,,0,0,0,1,13,60,0,13,84.88372093023256,50.0,0.0,0.4821072541750394
95,,,,0.0,0.0,,0,1,0,0,13,61,0,13,85.05747126436782,50.0,0.0,0.4821072541750394
96,,,,0.0,0.0,,0,1,0,0,13,62,0,13,85.22727272727273,50.0,0.0,0.4821072541750394
97,,,,1.0,4.0,,0,0,0,1,13,62,0,14,84.26966292134831,48.148148148148145,0.0,0.4821072541750394
98,,,,0.0,0.0,,0,1,0,0,13,63,0,14,84.44444444444444,48.148148148148145,0.0,0.4821072541750394
